#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,,,#NAME?,RF US GVT BMK BID YLD 3M - RED. YIELD,,Dato,TRSY 10
Q1 1984,9.33,,,,1/1/84,9.33,,1962-01-01,4.60517
Q2 1984,9.68,,,,2/1/84,8.89,,1962-04-01,4.56954
Q3 1984,9.74,,,,3/1/84,9.19,,1962-07-01,4.59848
Q4 1984,10.23,,,,4/1/84,9.68,,1962-10-01,4.57642
Q1 1985,8.12,,,,5/1/84,9.7,,1963-01-01,4.57377
Q2 1985,8.15,,,,6/1/84,9.8,,1963-04-01,4.59198
Q3 1985,6.87,,,,7/1/84,9.74,,1963-07-01,4.60908
Q4 1985,7.03,,,,8/1/84,10.43,,1963-10-01,4.63023
Q1 1986,7.28,,,,9/1/84,11.06,,1964-01-01,4.64481
Q2 1986,6.33,,,,10/1/84,10.23,,1964-04-01,4.65008
Q3 1986,5.99,,,,11/1/84,9.01,,1964-07-01,4.64856
Q4 1986,5.19,,,,12/1/84,8.41,,1964-10-01,4.64383
Q1 1987,5.83,,,,1/1/85,8.12,,1965-01-01,4.65079
Q2 1987,5.54,,,,2/1/85,8.19,,1965-04-01,4.65216
Q3 1987,5.64,,,,3/1/85,8.66,,1965-07-01,4.66155
Q4 1987,6.63,,,,4/1/85,8.15,,1965-10-01,4.71363
Q1 1988,5.86,,,,5/1/85,7.75,,1966-01-01,4.77799
Q2 1988,5.87,,,,6/1/85,7.02,,1966-04-01,4.77968
Q3 1988,6.55,,,,7/1/85,6.87,,1966-07-01,4.85305
Q4 1988,7.24,,,,8/1/85,7.27,,1966-10-01,4.82385
Q1 1989,8.37,,,,9/1/85,7.38,,1967-01-01,4.73644
Q2 1989,8.82,,,,10/1/85,7.03,,1967-04-01,4.78933
Q3 1989,7.97,,,,11/1/85,7.2,,1967-07-01,4.87246
Q4 1989,7.89,,,,12/1/85,7.26,,1967-10-01,4.94502
Q1 1990,7.78,,,,1/1/86,7.28,,1968-01-01,4.93953
Q2 1990,8.002,,,,2/1/86,7,,1968-04-01,4.96334
