Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q3 2010,0.16,9/30/10,450.712,0.16,0.172,425.928,582.3,0.905,196.6377,,Q2 2004,3.13,8.86,1081.6726,3.28,,,,,,,,,,,,,,,,,,,,,,,
Q4 2010,0.12,12/31/10,472.021,0.12,0.157,440.628,583.1,0.34,196.8581,,Q3 2004,3.42,2.71,1118.6658,3.26,,,,,,,,,,,,,,,,,,,,,,,
Q1 2011,0.09,3/31/11,445.833,0.09,0.124,428.319,583.74,0.39,197.025,,Q4 2004,4.66,1.27,1170.7956,3.61,,,,,,,,,,,,,,,,,,,,,,,
Q2 2011,0.03,6/30/11,445.925,0.03,0.063,427.926,584.32,0.27,197.1778,,Q1 2005,3.51,1.36,1211.8906,4.5,,,,,,,,,,,,,,,,,,,,,,,
Q3 2011,0.02,9/30/11,459.332,0.02,0.018,440.919,584.73,0.3,197.2779,,Q2 2005,5.34,18.14,1276.6055,5.21,,,,,,,,,,,,,,,,,,,,,,,
Q4 2011,0.02,12/31/11,523.068,0.02,0.008,465.049,585.27,0.47,197.4136,,Q3 2005,4.44,1.26,1333.2868,5.05,,,,,,,,,,,,,,,,,,,,,,,
Q1 2012,0.07,3/31/12,522.755,0.07,0.02,468.695,585.98,0.63,197.6153,,Q4 2005,5.43,5.25,1405.6843,5.11,,,,,,,,,,,,,,,,,,,,,,,
Q2 2012,0.09,6/30/12,512.089,0.09,0.079,466.756,586.62,0.35,197.7999,,Q1 2006,3.62,6.74,1456.5701,3.8,,,,,,,,,,,,,,,,,,,,,,,
Q3 2012,0.1,9/30/12,545.647,0.1,0.101,476.877,587.4,0.555,198.0149,,Q2 2006,4.01,3.68,1514.9785,3.98,,,,,,,,,,,,,,,,,,,,,,,
Q4 2012,0.05,12/31/12,547.597,0.05,0.086,479.477,588.09,0.39,198.2048,,Q3 2006,3.51,1.79,1568.1543,3.54,,,,,,,,,,,,,,,,,,,,,,,
Q1 2013,0.07,3/31/13,544.782,0.07,0.046,478.712,588.62,0.3,198.3575,,Q4 2006,4.51,9.38,1638.878,4.09,,,,,,,,,,,,,,,,,,,,,,,
Q2 2013,0.04,6/30/13,544.636,0.04,0.079,479.962,589.15,0.55,198.5069,,Q1 2007,3.62,4.6,1698.2054,3.93,,,,,,,,,,,,,,,,,,,,,,,
